W_PCT_DIFF,PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,REB_DIFF,AST_DIFF,TOV_DIFF,PLUS_MINUS_DIFF,A_WIN
-0.3,-576,-0.040000000000000036,0.019000000000000017,-252,-124,-76.0,-58.0,1
0.3,576,0.040000000000000036,-0.019000000000000017,252,124,76.0,58.0,1
0.3,576,0.040000000000000036,-0.019000000000000017,252,124,76.0,58.0,1
0.3,576,0.040000000000000036,-0.019000000000000017,252,124,76.0,58.0,1
0.3,576,0.040000000000000036,-0.019000000000000017,252,124,76.0,58.0,1
-0.636,-780,-0.044999999999999984,-0.025999999999999968,-314,-170,-86.0,-127.0,0
-0.636,-780,-0.044999999999999984,-0.025999999999999968,-314,-170,-86.0,-127.0,0
-0.636,-780,-0.044999999999999984,-0.025999999999999968,-314,-170,-86.0,-127.0,0
0.636,780,0.044999999999999984,0.025999999999999968,314,170,86.0,127.0,1
0.588,1457,0.057999999999999996,0.07700000000000001,585,315,189.0,132.0,1
0.588,1457,0.057999999999999996,0.07700000000000001,585,315,189.0,132.0,1
-0.588,-1457,-0.057999999999999996,-0.07700000000000001,-585,-315,-189.0,-132.0,0
0.588,1457,0.057999999999999996,0.07700000000000001,585,315,189.0,132.0,1
-0.667,-1907,-0.0050000000000000044,0.016000000000000014,-722,-433,-216.0,-84.0,0
0.667,1907,0.0050000000000000044,-0.016000000000000014,722,433,216.0,84.0,1
0.667,1907,0.0050000000000000044,-0.016000000000000014,722,433,216.0,84.0,1
-0.667,-1907,-0.0050000000000000044,0.016000000000000014,-722,-433,-216.0,-84.0,0
-0.562,-1836,-0.063,0.025000000000000022,-712,-449,-243.0,-197.0,1
0.562,1836,0.063,-0.025000000000000022,712,449,243.0,197.0,1
-0.562,-1836,-0.063,0.025000000000000022,-712,-449,-243.0,-197.0,0
-0.562,-1836,-0.063,0.025000000000000022,-712,-449,-243.0,-197.0,0
0.562,1836,0.063,-0.025000000000000022,712,449,243.0,197.0,1
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,0
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,1
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,1
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,1
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,1
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,0
-0.044999999999999984,-1247,0.016000000000000014,0.04199999999999998,-484,-278,-181.0,67.0,0
-0.044999999999999984,-1247,0.016000000000000014,0.04199999999999998,-484,-278,-181.0,67.0,1
-0.044999999999999984,-1247,0.016000000000000014,0.04199999999999998,-484,-278,-181.0,67.0,1
0.044999999999999984,1247,-0.016000000000000014,-0.04199999999999998,484,278,181.0,-67.0,0
0.044999999999999984,1247,-0.016000000000000014,-0.04199999999999998,484,278,181.0,-67.0,1
-0.044999999999999984,-1247,0.016000000000000014,0.04199999999999998,-484,-278,-181.0,67.0,0
-0.044999999999999984,-1247,0.016000000000000014,0.04199999999999998,-484,-278,-181.0,67.0,0
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,0
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,0
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,1
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,1
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,0
0.01200000000000001,-564,-0.006000000000000005,-0.033999999999999975,-117,-131,-42.0,-54.0,1
-0.01200000000000001,564,0.006000000000000005,0.033999999999999975,117,131,42.0,54.0,1
-0.16700000000000004,-1199,0.0,-0.0010000000000000009,-401,-280,-128.0,-30.0,0
-0.16700000000000004,-1199,0.0,-0.0010000000000000009,-401,-280,-128.0,-30.0,0
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,1
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,0
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,1
0.04800000000000004,-656,-0.01200000000000001,0.021999999999999964,-278,-112,-93.0,-40.0,0
-0.04800000000000004,656,0.01200000000000001,-0.021999999999999964,278,112,93.0,40.0,1
-0.04800000000000004,656,0.01200000000000001,-0.021999999999999964,278,112,93.0,40.0,0
-0.04800000000000004,656,0.01200000000000001,-0.021999999999999964,278,112,93.0,40.0,0
0.04800000000000004,-656,-0.01200000000000001,0.021999999999999964,-278,-112,-93.0,-40.0,0
-0.04800000000000004,656,0.01200000000000001,-0.021999999999999964,278,112,93.0,40.0,0
-0.04800000000000004,656,0.01200000000000001,-0.021999999999999964,278,112,93.0,40.0,1
-0.34500000000000003,-1077,-0.05299999999999999,0.008000000000000007,-460,-282,-162.0,-135.0,1
-0.34500000000000003,-1077,-0.05299999999999999,0.008000000000000007,-460,-282,-162.0,-135.0,0
-0.34500000000000003,-1077,-0.05299999999999999,0.008000000000000007,-460,-282,-162.0,-135.0,0
0.34500000000000003,1077,0.05299999999999999,-0.008000000000000007,460,282,162.0,135.0,1
-0.34500000000000003,-1077,-0.05299999999999999,0.008000000000000007,-460,-282,-162.0,-135.0,0
-0.06400000000000006,559,-0.0030000000000000027,0.01100000000000001,200,153,96.0,-98.0,0
-0.06400000000000006,559,-0.0030000000000000027,0.01100000000000001,200,153,96.0,-98.0,1
-0.06400000000000006,559,-0.0030000000000000027,0.01100000000000001,200,153,96.0,-98.0,0
0.06400000000000006,-559,0.0030000000000000027,-0.01100000000000001,-200,-153,-96.0,98.0,1
-0.06400000000000006,559,-0.0030000000000000027,0.01100000000000001,200,153,96.0,-98.0,1
-0.06400000000000006,559,-0.0030000000000000027,0.01100000000000001,200,153,96.0,-98.0,1
0.06400000000000006,-559,0.0030000000000000027,-0.01100000000000001,-200,-153,-96.0,98.0,0
0.07900000000000007,451,0.006000000000000005,0.01799999999999996,99,138,40.0,-43.0,1
-0.07900000000000007,-451,-0.006000000000000005,-0.01799999999999996,-99,-138,-40.0,43.0,0
-0.07900000000000007,-451,-0.006000000000000005,-0.01799999999999996,-99,-138,-40.0,43.0,1
-0.07900000000000007,-451,-0.006000000000000005,-0.01799999999999996,-99,-138,-40.0,43.0,0
-0.07900000000000007,-451,-0.006000000000000005,-0.01799999999999996,-99,-138,-40.0,43.0,1
-0.07900000000000007,-451,-0.006000000000000005,-0.01799999999999996,-99,-138,-40.0,43.0,0
-0.28800000000000003,-328,-0.018000000000000016,0.025000000000000022,-154,-110,-58.0,-187.0,0
-0.28800000000000003,-328,-0.018000000000000016,0.025000000000000022,-154,-110,-58.0,-187.0,0
0.28800000000000003,328,0.018000000000000016,-0.025000000000000022,154,110,58.0,187.0,0
0.28800000000000003,328,0.018000000000000016,-0.025000000000000022,154,110,58.0,187.0,1
0.28800000000000003,328,0.018000000000000016,-0.025000000000000022,154,110,58.0,187.0,1
0.09499999999999997,59,0.02899999999999997,-0.0050000000000000044,58,15,46.0,102.0,1
0.09499999999999997,59,0.02899999999999997,-0.0050000000000000044,58,15,46.0,102.0,1
0.09499999999999997,59,0.02899999999999997,-0.0050000000000000044,58,15,46.0,102.0,0
0.09499999999999997,59,0.02899999999999997,-0.0050000000000000044,58,15,46.0,102.0,1
0.09499999999999997,59,0.02899999999999997,-0.0050000000000000044,58,15,46.0,102.0,0
-0.09499999999999997,-59,-0.02899999999999997,0.0050000000000000044,-58,-15,-46.0,-102.0,0
0.2,148,0.062,0.024999999999999967,33,42,19.0,-23.0,0
-0.2,-148,-0.062,-0.024999999999999967,-33,-42,-19.0,23.0,1
0.2,148,0.062,0.024999999999999967,33,42,19.0,-23.0,0
0.2,148,0.062,0.024999999999999967,33,42,19.0,-23.0,1
0.2,148,0.062,0.024999999999999967,33,42,19.0,-23.0,0
-0.588,-1436,-0.056999999999999995,-0.0040000000000000036,-592,-282,-179.0,-167.0,1
-0.588,-1436,-0.056999999999999995,-0.0040000000000000036,-592,-282,-179.0,-167.0,1
0.588,1436,0.056999999999999995,0.0040000000000000036,592,282,179.0,167.0,1
-0.588,-1436,-0.056999999999999995,-0.0040000000000000036,-592,-282,-179.0,-167.0,1
0.588,1436,0.056999999999999995,0.0040000000000000036,592,282,179.0,167.0,0
-0.16700000000000004,-1199,0.0,-0.0010000000000000009,-401,-280,-128.0,-30.0,1
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,0
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,0
0.16700000000000004,1199,0.0,0.0010000000000000009,401,280,128.0,30.0,0
-0.35600000000000004,-1428,-0.05099999999999999,-0.0010000000000000009,-531,-271,-163.0,-8.0,0
0.35600000000000004,1428,0.05099999999999999,0.0010000000000000009,531,271,163.0,8.0,0
-0.35600000000000004,-1428,-0.05099999999999999,-0.0010000000000000009,-531,-271,-163.0,-8.0,0
0.35600000000000004,1428,0.05099999999999999,0.0010000000000000009,531,271,163.0,8.0,1
0.35600000000000004,1428,0.05099999999999999,0.0010000000000000009,531,271,163.0,8.0,1
0.22899999999999998,219,0.01899999999999996,0.09199999999999997,82,40,32.0,66.0,0
-0.22899999999999998,-219,-0.01899999999999996,-0.09199999999999997,-82,-40,-32.0,-66.0,0
0.22899999999999998,219,0.01899999999999996,0.09199999999999997,82,40,32.0,66.0,1
0.22899999999999998,219,0.01899999999999996,0.09199999999999997,82,40,32.0,66.0,1
-0.22899999999999998,-219,-0.01899999999999996,-0.09199999999999997,-82,-40,-32.0,-66.0,0
0.126,-29,0.008000000000000007,-0.02200000000000002,-13,27,61.0,46.0,0
0.126,-29,0.008000000000000007,-0.02200000000000002,-13,27,61.0,46.0,1
0.126,-29,0.008000000000000007,-0.02200000000000002,-13,27,61.0,46.0,1
0.126,-29,0.008000000000000007,-0.02200000000000002,-13,27,61.0,46.0,0
-0.126,29,-0.008000000000000007,0.02200000000000002,13,-27,-61.0,-46.0,1
-0.126,29,-0.008000000000000007,0.02200000000000002,13,-27,-61.0,-46.0,1
-0.27399999999999997,-1508,-0.044999999999999984,0.0,-558,-339,-185.0,-10.0,1
-0.27399999999999997,-1508,-0.044999999999999984,0.0,-558,-339,-185.0,-10.0,0
0.27399999999999997,1508,0.044999999999999984,0.0,558,339,185.0,10.0,1
-0.27399999999999997,-1508,-0.044999999999999984,0.0,-558,-339,-185.0,-10.0,1
0.27399999999999997,1508,0.044999999999999984,0.0,558,339,185.0,10.0,1
0.27399999999999997,1508,0.044999999999999984,0.0,558,339,185.0,10.0,1
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,1
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,0
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,1
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,0
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,0
-0.20500000000000002,-780,-0.0010000000000000009,-0.008000000000000007,-313,-146,-93.0,-113.0,0
0.20500000000000002,780,0.0010000000000000009,0.008000000000000007,313,146,93.0,113.0,1
0.556,1511,0.05299999999999999,0.07900000000000001,579,294,176.0,20.0,1
0.556,1511,0.05299999999999999,0.07900000000000001,579,294,176.0,20.0,0
0.556,1511,0.05299999999999999,0.07900000000000001,579,294,176.0,20.0,0
-0.556,-1511,-0.05299999999999999,-0.07900000000000001,-579,-294,-176.0,-20.0,0
-0.556,-1511,-0.05299999999999999,-0.07900000000000001,-579,-294,-176.0,-20.0,0
-0.556,-1511,-0.05299999999999999,-0.07900000000000001,-579,-294,-176.0,-20.0,1
-0.556,-1511,-0.05299999999999999,-0.07900000000000001,-579,-294,-176.0,-20.0,0
0.5,688,0.063,0.020999999999999963,290,140,91.0,94.0,0
-0.5,-688,-0.063,-0.020999999999999963,-290,-140,-91.0,-94.0,1
0.5,688,0.063,0.020999999999999963,290,140,91.0,94.0,1
0.5,688,0.063,0.020999999999999963,290,140,91.0,94.0,1
-0.5,-688,-0.063,-0.020999999999999963,-290,-140,-91.0,-94.0,1
0.5,688,0.063,0.020999999999999963,290,140,91.0,94.0,1
0.5,688,0.063,0.020999999999999963,290,140,91.0,94.0,1
-0.10900000000000004,-688,0.013000000000000012,0.05299999999999999,-284,-125,-85.0,-31.0,1
-0.10900000000000004,-688,0.013000000000000012,0.05299999999999999,-284,-125,-85.0,-31.0,1
0.10900000000000004,688,-0.013000000000000012,-0.05299999999999999,284,125,85.0,31.0,1
0.10900000000000004,688,-0.013000000000000012,-0.05299999999999999,284,125,85.0,31.0,1
0.10900000000000004,688,-0.013000000000000012,-0.05299999999999999,284,125,85.0,31.0,1
-0.10900000000000004,-688,0.013000000000000012,0.05299999999999999,-284,-125,-85.0,-31.0,0
-0.16200000000000003,-357,-0.010000000000000009,0.0030000000000000027,-167,-83,3.0,-141.0,0
-0.16200000000000003,-357,-0.010000000000000009,0.0030000000000000027,-167,-83,3.0,-141.0,0
0.16200000000000003,357,0.010000000000000009,-0.0030000000000000027,167,83,-3.0,141.0,1
-0.16200000000000003,-357,-0.010000000000000009,0.0030000000000000027,-167,-83,3.0,-141.0,0
0.05600000000000005,802,-0.01100000000000001,-0.014999999999999958,296,121,75.0,-39.0,1
0.05600000000000005,802,-0.01100000000000001,-0.014999999999999958,296,121,75.0,-39.0,0
-0.05600000000000005,-802,0.01100000000000001,0.014999999999999958,-296,-121,-75.0,39.0,1
0.05600000000000005,802,-0.01100000000000001,-0.014999999999999958,296,121,75.0,-39.0,1
