TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612738,Boston Celtics,5,1,4,0.2,240.0,192,441,0.435,64,183,0.35,113,137,0.825,63,144,207,105,65.0,32,35,33,105,117,561,-56.0,12,12,1,12,12,14,14,13,11,12,9,11,12,4,10,15,14,14,4,12,9,5,4,13,13,14,2020-21
1610612751,Brooklyn Nets,12,7,5,0.583,581.0,488,1034,0.472,163,427,0.382,211,243,0.868,99,412,511,271,139.0,85,58,74,254,223,1350,76.0,5,5,9,3,5,6,5,5,6,6,6,7,7,1,8,6,6,6,10,6,6,13,11,7,6,5,2020-21
1610612742,Dallas Mavericks,7,3,4,0.429,336.0,274,602,0.455,95,245,0.388,99,140,0.707,72,212,284,145,77.0,39,15,35,142,144,742,-36.0,9,9,1,8,9,9,9,11,10,9,4,13,11,15,9,9,9,9,7,11,14,7,8,9,9,10,2020-21
1610612743,Denver Nuggets,10,4,6,0.4,490.0,421,922,0.457,147,385,0.382,159,209,0.761,117,319,436,249,112.0,61,43,49,204,203,1148,-55.0,8,8,12,9,8,8,8,10,7,7,5,8,8,12,5,8,8,7,9,7,8,11,9,8,8,13,2020-21
1610612746,LA Clippers,19,10,9,0.526,912.0,743,1557,0.477,263,691,0.381,371,451,0.823,167,615,782,395,203.0,129,81,51,370,405,2120,77.0,3,3,16,7,3,3,4,3,1,2,7,1,2,5,3,3,3,3,13,3,3,12,13,3,3,4,2020-21
1610612747,Los Angeles Lakers,6,2,4,0.333,288.0,206,498,0.414,59,197,0.299,114,147,0.776,63,196,259,116,83.0,40,24,30,123,126,585,-39.0,10,10,1,10,11,12,11,14,12,11,15,10,9,10,10,10,10,11,8,9,11,3,6,10,11,11,2020-21
1610612763,Memphis Grizzlies,5,1,4,0.2,240.0,221,472,0.468,52,158,0.329,81,102,0.794,56,150,206,110,52.0,40,20,31,103,96,575,-42.0,12,12,1,12,12,11,12,7,13,13,13,15,15,9,13,14,15,13,1,9,13,4,3,14,12,12,2020-21
1610612748,Miami Heat,4,0,4,0.0,197.0,141,357,0.395,48,143,0.336,62,81,0.765,36,133,169,86,56.0,29,14,12,82,80,392,-82.0,16,16,1,16,16,16,16,16,15,15,12,16,16,11,16,16,16,16,2,14,15,1,1,16,16,16,2020-21
1610612749,Milwaukee Bucks,23,16,7,0.696,1114.0,968,2095,0.462,258,804,0.321,343,478,0.718,295,831,1126,525,293.0,180,97,87,413,462,2537,118.0,1,1,13,1,1,1,1,8,2,1,14,3,1,14,1,1,1,1,16,1,1,16,15,1,1,1,2020-21
1610612752,New York Knicks,5,1,4,0.2,240.0,172,432,0.398,52,152,0.342,89,109,0.817,59,173,232,93,61.0,29,14,34,99,95,485,-35.0,12,12,1,12,12,15,15,15,13,14,11,14,14,6,12,12,12,15,3,14,15,6,2,15,15,9,2020-21
1610612755,Philadelphia 76ers,12,7,5,0.583,576.0,510,1029,0.496,134,341,0.393,241,352,0.685,108,428,536,299,154.0,96,74,45,276,286,1395,90.0,5,5,9,3,6,5,6,1,8,8,3,5,5,16,6,5,5,5,12,5,5,9,12,5,5,3,2020-21
1610612756,Phoenix Suns,22,14,8,0.636,1056.0,900,1871,0.481,246,654,0.376,352,409,0.861,175,764,939,511,262.0,142,92,80,434,408,2398,98.0,2,2,14,2,2,2,2,2,3,3,8,2,3,2,2,2,2,2,15,2,2,15,16,2,2,2,2020-21
1610612757,Portland Trail Blazers,6,2,4,0.333,298.0,252,530,0.475,97,235,0.413,116,136,0.853,56,194,250,137,71.0,31,33,27,139,121,717,-8.0,10,10,1,10,10,10,10,4,9,10,1,9,13,3,13,11,11,10,6,13,10,2,7,11,10,6,2020-21
1610612762,Utah Jazz,11,6,5,0.545,528.0,437,926,0.472,198,480,0.413,214,267,0.801,103,363,466,216,148.0,57,45,47,237,232,1286,-9.0,7,7,9,6,7,7,7,6,5,5,2,6,6,7,7,7,7,8,11,8,7,10,10,6,7,7,2020-21
1610612764,Washington Wizards,5,1,4,0.2,240.0,203,443,0.458,35,121,0.289,109,145,0.752,53,164,217,112,67.0,24,24,36,120,119,550,-70.0,12,12,1,12,12,13,13,9,16,16,16,12,10,13,15,13,13,12,5,16,11,8,5,12,14,15,2020-21
1610612737,Atlanta Hawks,5,1,4,0.2,240.0,172,391,0.44,57,175,0.326,86,110,0.782,43,154,197,93,82.0,29,12,15,108,117,487,-60.0,13,13,1,13,13,15,15,13,11,13,12,14,14,10,13,14,15,15,5,15,16,2,3,13,14,15,2021-22
